CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,CNTY_CITY_LOC,BEAT_TYPE,CHP_BEAT_TYPE,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION
9078569,2019,20200911,3308,20191107,1956,10620,507,4,5,3308,0,0,SAN JACINTO ST,OAKLAND AV,0,N,N
9078570,2019,20200819,5501,20191107,1740,SM2,5501,4,2,5501,0,0,W STOCKTON ST,MILL VILLA CT,0,N,N
9078571,2019,20200925,4502,20191202,1605,R0013,R06,1,5,4502,0,0,EUREKA WY,ALMOND AV,0,W,N
9078572,2019,20200925,4502,20191014,0139,R0115,R04,1,5,4502,0,0,RT 273,KENYON DR,0,S,N
9078574,2019,20200518,3313,20191103,1850,1928,5,7,7,3313,0,0,VAN BUREN BL,CHALLEN AV,0,N,N
9078578,2019,20200826,5606,20191221,2219,1126,5606,6,4,5606,0,0,RT 150,RICHMOND RD,0,S,N
9078579,2019,20200728,4502,20191022,1704,R0026,R05,2,5,4502,0,0,TEHAMA ST,EAST ST,0,E,N
9078586,2019,20200604,1201,20191218,1728,645,303,3,3,1201,0,0,13TH ST,I ST,0,E,N
9078588,2019,20200925,4502,20191123,2030,186,R05,6,5,4502,0,0,MARKET ST,SHASTA ST,0,S,N
9078590,2019,20200819,5501,20191230,1035,TBI,5501,1,2,5501,0,0,N WASHINGTON,ELKIN ST,0,N,N
9078594,2019,20200819,4502,20191101,0003,R102,R04,5,5,4502,0,0,MARKET ST,ELLIS ST,0,N,N
9078596,2019,20200917,3600,20191108,0505,H8376,AD311,5,3,3613,0,0,CROSSROADS WY,RT 395,0,E,N
9078598,2019,20200910,5501,20191207,1200,TB1,5501,6,2,5501,0,0,RT 49,STOCKTON ST,0,N,N
9078599,2019,20200925,4502,20191027,1334,537,R06,7,5,4502,0,0,TRINITY ST,MARKET ST,0,E,N
9078600,2019,20200508,0109,20191110,1218,9278,2,7,7,0109,0,0,MACARTHUR BL,99TH AV,0,E,N
9078603,2020,20200619,1942,20200315,1515,40008,1136,7,7,1942,0,0,EAGLE ROCK BL,W AVENUE 41,0,S,N
9078606,2020,20200430,1201,20200310,1153,652,307,2,3,1201,0,0,SAMOA BL,G ST,0,W,N
9078613,2020,20200930,1942,20200303,1915,33707,0861,2,7,1942,0,0,PACIFIC COAST HWY,SUNSET BL,0,N,N
9078614,2020,20200916,4402,20200308,0049,150,4402,7,5,4402,0,0,RT 1,RT 9,0,N,N
9078615,2020,20201020,1942,20200311,0050,30083,1309,3,7,1942,0,0,S ALAMEDA ST,E 1ST ST,0,S,N
9078617,2020,20200814,1942,20200303,0800,38469,1018,2,7,1942,0,0,WOODLEY AV,WYANDOTTE ST,0,S,N
9078619,2020,20200623,1942,20200312,0930,38050,1132,4,7,1942,0,0,RIVERSIDE DR,LOS FELIZ BL,0,E,N
9078620,2020,20201013,1942,20200306,1005,40119,1721,5,7,1942,0,0,TOPANGA CANYON BL,TULA ST,0,N,N
9078621,2020,20200925,5002,20200201,1318,11750,376,6,6,5002,0,0,RT 132,S WASHINGTON ST,0,W,N
9078624,2020,20200925,4117,20200314,1713,18JY16,14AF,6,5,4117,0,0,RT 82,HAZELWOOD DR,0,N,N
9078628,2020,20200929,1976,20200326,1708,279,1976,4,5,1976,0,0,WHITTIER BL,ROCKNE AV,0,E,N
9078633,2020,20200803,1942,20200223,2220,14024,1494,7,7,1942,0,0,96TH ST,JENNY AV,0,W,N
9078634,2020,20200803,1942,20200222,2020,38265,0171,6,7,1942,0,0,8TH PL,GEORGIA ST,0,W,N
9078640,2020,20200720,340H,20200328,0810,10599,3401,6,5,3450,0,0,SHELDON RD,RT 99,0,W,N
9078645,2020,20200702,3404,20200329,1746,8131,6,7,7,3404,0,0,12TH AV,32ND ST,0,W,N
9078646,2020,20200701,3605,20200325,1743,411,3605,3,4,3605,0,0,MONTE VISTA AV,OLIVE ST,0,N,N
9078647,2020,20200701,3004,20200325,1321,P549,15,3,6,3004,0,0,GOLF COURSE DR,MESA VERDE DR EAST,0,W,N
9078648,2020,20200630,3004,20200316,1745,P684,03,1,6,3004,0,0,NEWPORT BL,E 16TH ST,0,N,N
9078649,2020,20200821,3404,20200313,0802,0621,1,5,7,3404,0,0,URBANA WY,VOLTI WY,0,W,N
